Description	Iteration	Algorithm	ElapsedSeconds
breast.cancer	1	AlgorithmScripts/Classification/arff/weka/Bagging/default	0.742663168
breast.cancer	1	AlgorithmScripts/Classification/arff/weka/BayesNet/default	0.778713664
breast.cancer	1	AlgorithmScripts/Classification/arff/weka/DecisionTable/default	0.75116352
breast.cancer	1	AlgorithmScripts/Classification/arff/weka/HoeffdingTree/default	0.674664384
breast.cancer	1	AlgorithmScripts/Classification/arff/weka/HyperPipes/default	0.657328
breast.cancer	1	AlgorithmScripts/Classification/arff/weka/J48/default	0.67079104
breast.cancer	1	AlgorithmScripts/Classification/arff/weka/JRip/default	0.668490944
breast.cancer	1	AlgorithmScripts/Classification/arff/weka/LibLINEAR/default	0.726918464
breast.cancer	1	AlgorithmScripts/Classification/arff/weka/MultilayerPerceptron/default	1.418642176
breast.cancer	1	AlgorithmScripts/Classification/arff/weka/NaiveBayes/default	0.631582016
breast.cancer	1	AlgorithmScripts/Classification/arff/weka/OneR/default	0.62108352
breast.cancer	1	AlgorithmScripts/Classification/arff/weka/REPTree/default	0.747960832
breast.cancer	1	AlgorithmScripts/Classification/arff/weka/RandomForest/default	0.912346112
breast.cancer	1	AlgorithmScripts/Classification/arff/weka/RandomTree/default	0.748897472
breast.cancer	1	AlgorithmScripts/Classification/arff/weka/SMO/default	0.770850048
breast.cancer	1	AlgorithmScripts/Classification/arff/weka/SVM_Linear/default	0.712314688
breast.cancer	1	AlgorithmScripts/Classification/arff/weka/SVM_Poly/default	0.675339776
breast.cancer	1	AlgorithmScripts/Classification/arff/weka/SVM_RBF/default	0.693512832
breast.cancer	1	AlgorithmScripts/Classification/arff/weka/SimpleLogistic/default	0.764645184
breast.cancer	1	AlgorithmScripts/Classification/arff/weka/VFI/default	0.657899904
breast.cancer	2	AlgorithmScripts/Classification/arff/weka/Bagging/default	0.744096896
breast.cancer	2	AlgorithmScripts/Classification/arff/weka/BayesNet/default	0.710117696
breast.cancer	2	AlgorithmScripts/Classification/arff/weka/DecisionTable/default	0.720506688
breast.cancer	2	AlgorithmScripts/Classification/arff/weka/HoeffdingTree/default	0.621079232
breast.cancer	2	AlgorithmScripts/Classification/arff/weka/HyperPipes/default	0.5902592
breast.cancer	2	AlgorithmScripts/Classification/arff/weka/J48/default	0.616254016
breast.cancer	2	AlgorithmScripts/Classification/arff/weka/JRip/default	0.624441152
breast.cancer	2	AlgorithmScripts/Classification/arff/weka/LibLINEAR/default	0.644051712
breast.cancer	2	AlgorithmScripts/Classification/arff/weka/MultilayerPerceptron/default	1.411995392
breast.cancer	2	AlgorithmScripts/Classification/arff/weka/NaiveBayes/default	0.647454528
breast.cancer	2	AlgorithmScripts/Classification/arff/weka/OneR/default	0.653593536
breast.cancer	2	AlgorithmScripts/Classification/arff/weka/REPTree/default	0.772121024
breast.cancer	2	AlgorithmScripts/Classification/arff/weka/RandomForest/default	0.783821632
breast.cancer	2	AlgorithmScripts/Classification/arff/weka/RandomTree/default	0.714803776
breast.cancer	2	AlgorithmScripts/Classification/arff/weka/SMO/default	0.735928192
breast.cancer	2	AlgorithmScripts/Classification/arff/weka/SVM_Linear/default	0.702620992
breast.cancer	2	AlgorithmScripts/Classification/arff/weka/SVM_Poly/default	0.72873856
breast.cancer	2	AlgorithmScripts/Classification/arff/weka/SVM_RBF/default	0.72000992
breast.cancer	2	AlgorithmScripts/Classification/arff/weka/SimpleLogistic/default	0.77059968
breast.cancer	2	AlgorithmScripts/Classification/arff/weka/VFI/default	0.653982336
