Description	Iteration	Algorithm	Metric	Value
postoperative.patient.data	1	AlgorithmScripts/Classification/arff/weka/Bagging/default	AUROC	0.433648074952423
postoperative.patient.data	1	AlgorithmScripts/Classification/arff/weka/Bagging/default	Accuracy	0.806451612903226
postoperative.patient.data	1	AlgorithmScripts/Classification/arff/weka/Bagging/default	BalancedAccuracy	0.5
postoperative.patient.data	1	AlgorithmScripts/Classification/arff/weka/Bagging/default	Brier	0.146949602150538
postoperative.patient.data	1	AlgorithmScripts/Classification/arff/weka/Bagging/default	F1	NA
postoperative.patient.data	1	AlgorithmScripts/Classification/arff/weka/Bagging/default	FDR	NA
postoperative.patient.data	1	AlgorithmScripts/Classification/arff/weka/Bagging/default	FNR	0.666666666666667
postoperative.patient.data	1	AlgorithmScripts/Classification/arff/weka/Bagging/default	FPR	0.333333333333333
postoperative.patient.data	1	AlgorithmScripts/Classification/arff/weka/Bagging/default	MCC	NA
postoperative.patient.data	1	AlgorithmScripts/Classification/arff/weka/Bagging/default	MMCE	0.193548387096774
postoperative.patient.data	1	AlgorithmScripts/Classification/arff/weka/Bagging/default	NPV	NA
postoperative.patient.data	1	AlgorithmScripts/Classification/arff/weka/Bagging/default	PPV	NA
postoperative.patient.data	1	AlgorithmScripts/Classification/arff/weka/Bagging/default	Precision	NA
postoperative.patient.data	1	AlgorithmScripts/Classification/arff/weka/Bagging/default	Recall	0.333333333333333
postoperative.patient.data	1	AlgorithmScripts/Classification/arff/weka/Bagging/default	TNR	0.666666666666667
postoperative.patient.data	1	AlgorithmScripts/Classification/arff/weka/Bagging/default	TPR	0.333333333333333
postoperative.patient.data	1	AlgorithmScripts/Classification/arff/weka/BayesNet/default	AUROC	0.330178597569902
postoperative.patient.data	1	AlgorithmScripts/Classification/arff/weka/BayesNet/default	Accuracy	0.806451612903226
postoperative.patient.data	1	AlgorithmScripts/Classification/arff/weka/BayesNet/default	BalancedAccuracy	0.5
postoperative.patient.data	1	AlgorithmScripts/Classification/arff/weka/BayesNet/default	Brier	0.158598655913978
postoperative.patient.data	1	AlgorithmScripts/Classification/arff/weka/BayesNet/default	F1	NA
postoperative.patient.data	1	AlgorithmScripts/Classification/arff/weka/BayesNet/default	FDR	NA
postoperative.patient.data	1	AlgorithmScripts/Classification/arff/weka/BayesNet/default	FNR	0.666666666666667
postoperative.patient.data	1	AlgorithmScripts/Classification/arff/weka/BayesNet/default	FPR	0.333333333333333
postoperative.patient.data	1	AlgorithmScripts/Classification/arff/weka/BayesNet/default	MCC	NA
postoperative.patient.data	1	AlgorithmScripts/Classification/arff/weka/BayesNet/default	MMCE	0.193548387096774
postoperative.patient.data	1	AlgorithmScripts/Classification/arff/weka/BayesNet/default	NPV	NA
postoperative.patient.data	1	AlgorithmScripts/Classification/arff/weka/BayesNet/default	PPV	NA
postoperative.patient.data	1	AlgorithmScripts/Classification/arff/weka/BayesNet/default	Precision	NA
postoperative.patient.data	1	AlgorithmScripts/Classification/arff/weka/BayesNet/default	Recall	0.333333333333333
postoperative.patient.data	1	AlgorithmScripts/Classification/arff/weka/BayesNet/default	TNR	0.666666666666667
postoperative.patient.data	1	AlgorithmScripts/Classification/arff/weka/BayesNet/default	TPR	0.333333333333333
postoperative.patient.data	1	AlgorithmScripts/Classification/arff/weka/DecisionTable/default	AUROC	0.348545234958278
postoperative.patient.data	1	AlgorithmScripts/Classification/arff/weka/DecisionTable/default	Accuracy	0.806451612903226
postoperative.patient.data	1	AlgorithmScripts/Classification/arff/weka/DecisionTable/default	BalancedAccuracy	0.5
postoperative.patient.data	1	AlgorithmScripts/Classification/arff/weka/DecisionTable/default	Brier	0.157684258064516
postoperative.patient.data	1	AlgorithmScripts/Classification/arff/weka/DecisionTable/default	F1	NA
postoperative.patient.data	1	AlgorithmScripts/Classification/arff/weka/DecisionTable/default	FDR	NA
