Description	Iteration	Algorithm	ElapsedSeconds
postoperative.patient.data	1	AlgorithmScripts/Classification/arff/weka/Bagging/default	0.734496448
postoperative.patient.data	1	AlgorithmScripts/Classification/arff/weka/BayesNet/default	0.689782784
postoperative.patient.data	1	AlgorithmScripts/Classification/arff/weka/DecisionTable/default	0.729334336
postoperative.patient.data	1	AlgorithmScripts/Classification/arff/weka/HoeffdingTree/default	0.61645408
postoperative.patient.data	1	AlgorithmScripts/Classification/arff/weka/HyperPipes/default	0.600203648
postoperative.patient.data	1	AlgorithmScripts/Classification/arff/weka/J48/default	0.646976768
postoperative.patient.data	1	AlgorithmScripts/Classification/arff/weka/JRip/default	0.64124256
postoperative.patient.data	1	AlgorithmScripts/Classification/arff/weka/LibLINEAR/default	0.678165952
postoperative.patient.data	1	AlgorithmScripts/Classification/arff/weka/MultilayerPerceptron/default	0.795367744
postoperative.patient.data	1	AlgorithmScripts/Classification/arff/weka/NaiveBayes/default	0.635052736
postoperative.patient.data	1	AlgorithmScripts/Classification/arff/weka/OneR/default	0.6272656
postoperative.patient.data	1	AlgorithmScripts/Classification/arff/weka/REPTree/default	0.767465472
postoperative.patient.data	1	AlgorithmScripts/Classification/arff/weka/RandomForest/default	0.754453312
postoperative.patient.data	1	AlgorithmScripts/Classification/arff/weka/RandomTree/default	0.726046912
postoperative.patient.data	1	AlgorithmScripts/Classification/arff/weka/SMO/default	0.783485056
postoperative.patient.data	1	AlgorithmScripts/Classification/arff/weka/SVM_Linear/default	0.671117504
postoperative.patient.data	1	AlgorithmScripts/Classification/arff/weka/SVM_Poly/default	0.677949312
postoperative.patient.data	1	AlgorithmScripts/Classification/arff/weka/SVM_RBF/default	0.680063552
postoperative.patient.data	1	AlgorithmScripts/Classification/arff/weka/SimpleLogistic/default	0.720783552
postoperative.patient.data	1	AlgorithmScripts/Classification/arff/weka/VFI/default	0.629069056
postoperative.patient.data	2	AlgorithmScripts/Classification/arff/weka/Bagging/default	0.759251584
postoperative.patient.data	2	AlgorithmScripts/Classification/arff/weka/BayesNet/default	0.701293312
postoperative.patient.data	2	AlgorithmScripts/Classification/arff/weka/DecisionTable/default	0.739077312
postoperative.patient.data	2	AlgorithmScripts/Classification/arff/weka/HoeffdingTree/default	0.646602624
postoperative.patient.data	2	AlgorithmScripts/Classification/arff/weka/HyperPipes/default	0.611057792
postoperative.patient.data	2	AlgorithmScripts/Classification/arff/weka/J48/default	0.616839552
postoperative.patient.data	2	AlgorithmScripts/Classification/arff/weka/JRip/default	0.619319936
postoperative.patient.data	2	AlgorithmScripts/Classification/arff/weka/LibLINEAR/default	0.636654208
postoperative.patient.data	2	AlgorithmScripts/Classification/arff/weka/MultilayerPerceptron/default	0.76770528
postoperative.patient.data	2	AlgorithmScripts/Classification/arff/weka/NaiveBayes/default	0.595118336
postoperative.patient.data	2	AlgorithmScripts/Classification/arff/weka/OneR/default	0.611506752
postoperative.patient.data	2	AlgorithmScripts/Classification/arff/weka/REPTree/default	0.741412544
postoperative.patient.data	2	AlgorithmScripts/Classification/arff/weka/RandomForest/default	0.745102528
postoperative.patient.data	2	AlgorithmScripts/Classification/arff/weka/RandomTree/default	0.747012032
postoperative.patient.data	2	AlgorithmScripts/Classification/arff/weka/SMO/default	0.75506752
postoperative.patient.data	2	AlgorithmScripts/Classification/arff/weka/SVM_Linear/default	0.651682048
postoperative.patient.data	2	AlgorithmScripts/Classification/arff/weka/SVM_Poly/default	0.644396608
postoperative.patient.data	2	AlgorithmScripts/Classification/arff/weka/SVM_RBF/default	0.650567296
postoperative.patient.data	2	AlgorithmScripts/Classification/arff/weka/SimpleLogistic/default	0.712566976
postoperative.patient.data	2	AlgorithmScripts/Classification/arff/weka/VFI/default	0.603778048
