Feature	Mean_Rank
Feature1	3.75
Feature3	4.15
Feature2	5
Feature5	5.05
Feature4	6.65
Feature55_Low	14.75
Feature52_Low	15.35
Feature52_Medium	15.6
Feature53_Low	17.85
Feature55_Medium	18
Feature54_Low	18.05
Feature51_Low	18.7
Feature53_Medium	22
Feature51_Medium	25
Feature54_Medium	26.45
Feature98_Medium	49.35
Feature23	50.55
Feature97_Medium	53.75
Feature93_Medium	58.5
Feature22	59
Feature87_Medium	59.25
Feature9	59.25
Feature90_Medium	60.55
Feature33	61.05
Feature95_Medium	61.5
Feature96_Medium	61.75
Feature43	62.9
Feature40	63.35
Feature92_Medium	63.35
Feature94_Medium	63.5
Feature81_Medium	63.75
Feature93_Low	63.75
Feature42	64.9
Feature89_Medium	65.55
Feature91_Medium	65.6
Feature64_Medium	65.75
Feature11	65.95
Feature83_Medium	66.7
Feature70_Medium	66.9
Feature97_Low	67.25
Feature35	68.05
Feature25	68.3
Feature30	68.35
Feature86_Low	68.65
Feature47	69.05
Feature67_Medium	69.1
Feature89_Low	69.5
Feature96_Low	69.85
Feature57_Low	69.9
Feature46	69.95
Feature85_Medium	71.35
Feature63_Medium	71.75
Feature84_Medium	71.9
Feature34	72.55
Feature86_Medium	72.75
Feature39	73.05
Feature65_Medium	73.25
Feature27	74.1
Feature94_Low	74.4
Feature45	75.3
Feature95_Low	76.15
Feature12	76.5
Feature71_Medium	76.8
Feature61_Medium	77.35
Feature28	78
Feature80_Medium	78.1
Feature21	78.2
Feature36	78.2
Feature6	78.85
Feature83_Low	79.1
Feature16	79.2
Feature26	79.7
Feature7	79.85
Feature29	80.2
Feature90_Low	80.3
Feature20	80.6
Feature48	80.65
Feature18	81.3
Feature91_Low	81.4
Feature84_Low	81.5
Feature88_Medium	81.6
Feature100_Medium	81.95
Feature13	82.25
Feature62_Medium	82.35
Feature79_Medium	82.5
Feature37	82.55
Feature38	82.7
Feature59_Medium	83.15
Feature98_Low	83.25
Feature49	83.7
Feature17	84.2
Feature15	84.25
Feature60_Low	84.35
Feature8	85.05
Feature78_Low	85.35
Feature57_Medium	87.05
Feature70_Low	87.85
Feature62_Low	88
Feature78_Medium	88.25
Feature87_Low	88.5
Feature24	88.95
Feature58_Medium	89
Feature99_Medium	89.7
Feature76_Medium	89.9
Feature56_Medium	90.2
Feature82_Low	90.4
Feature60_Medium	90.95
Feature67_Low	90.95
Feature85_Low	91.05
Feature92_Low	91.15
Feature75_Medium	91.3
Feature32	91.8
Feature71_Low	92.65
Feature31	92.8
Feature68_Medium	93.05
Feature69_Medium	93.1
Feature82_Medium	93.2
Feature100_Low	93.25
Feature41	93.55
Feature66_Medium	93.65
Feature80_Low	93.8
Feature73_Medium	94.5
Feature14	94.8
Feature73_Low	95.25
Feature77_Medium	95.85
Feature88_Low	96.4
Feature44	97.05
Feature50	97.3
Feature99_Low	97.35
Feature74_Medium	97.35
Feature74_Low	97.5
Feature63_Low	97.7
Feature76_Low	98.5
Feature68_Low	99.05
Feature19	99.25
Feature10	99.3
Feature79_Low	100.45
Feature72_Medium	100.55
Feature81_Low	101.95
Feature72_Low	102.75
Feature56_Low	105.6
Feature75_Low	105.85
Feature65_Low	106.85
Feature59_Low	107
Feature64_Low	107.4
Feature61_Low	107.95
Feature66_Low	109.3
Feature77_Low	110.3
Feature58_Low	112.2
Feature69_Low	113.35
