Feature	Mean_Rank
Feature1	4.0
Feature5	4.107142857142857
Feature3	4.714285714285714
Feature4	5.892857142857143
Feature2	6.5
Feature52.Medium	7.071428571428571
Feature52.Low	7.142857142857143
Feature55.Low	7.607142857142857
Feature55.Medium	7.928571428571429
Feature54.Low	10.392857142857142
Feature53.Low	10.928571428571429
Feature51.Low	11.428571428571429
Feature51.Medium	12.178571428571429
Feature54.Medium	13.678571428571429
Feature53.Medium	15.5
Feature92.Medium	29.142857142857142
Feature78.Low	34.92857142857143
Feature64.Medium	37.142857142857146
Feature98.Medium	39.25
Feature87.Medium	41.892857142857146
Feature70.Low	45.82142857142857
Feature59.Medium	50.42857142857143
Feature63.Medium	51.857142857142854
Feature62.Medium	52.17857142857143
Feature89.Medium	54.0
Feature23	55.17857142857143
Feature91.Medium	55.82142857142857
Feature73.Low	56.964285714285715
Feature89.Low	58.357142857142854
Feature93.Medium	58.714285714285715
Feature80.Medium	59.17857142857143
Feature94.Low	60.0
Feature67.Medium	60.142857142857146
Feature92.Low	61.464285714285715
Feature6	61.75
Feature63.Low	61.92857142857143
Feature86.Low	63.0
Feature84.Medium	64.10714285714286
Feature91.Low	64.39285714285714
Feature71.Medium	65.28571428571429
Feature83.Medium	65.35714285714286
Feature67.Low	65.75
Feature62.Low	66.17857142857143
Feature30	66.25
Feature11	66.32142857142857
Feature97.Low	67.07142857142857
Feature74.Low	67.53571428571429
Feature59.Low	67.89285714285714
Feature88.Medium	68.21428571428571
Feature18	68.28571428571429
Feature61.Low	69.14285714285714
Feature42	70.03571428571429
Feature70.Medium	70.67857142857143
Feature33	71.28571428571429
Feature43	72.14285714285714
Feature75.Low	72.82142857142857
Feature72.Low	73.39285714285714
Feature9	73.96428571428571
Feature83.Low	73.96428571428571
Feature20	74.89285714285714
Feature47	76.10714285714286
Feature84.Low	76.92857142857143
Feature60.Medium	77.07142857142857
Feature65.Medium	77.28571428571429
Feature68.Low	77.28571428571429
Feature36	77.60714285714286
Feature61.Medium	77.64285714285714
Feature73.Medium	77.64285714285714
Feature95.Low	77.67857142857143
Feature76.Medium	78.28571428571429
Feature93.Low	80.28571428571429
Feature90.Medium	80.64285714285714
Feature98.Low	81.89285714285714
Feature68.Medium	82.14285714285714
Feature72.Medium	82.25
Feature12	83.78571428571429
Feature69.Low	84.17857142857143
Feature50	84.28571428571429
Feature24	84.92857142857143
Feature22	85.14285714285714
Feature87.Low	85.32142857142857
Feature81.Low	85.82142857142857
Feature76.Low	85.85714285714286
Feature96.Low	86.32142857142857
Feature27	86.64285714285714
Feature14	86.96428571428571
Feature99.Low	87.10714285714286
Feature56.Medium	87.71428571428571
Feature39	88.89285714285714
Feature25	89.03571428571429
Feature99.Medium	89.21428571428571
Feature97.Medium	90.0
Feature31	90.5
Feature77.Low	90.96428571428571
Feature100.Low	91.0
Feature81.Medium	91.35714285714286
Feature77.Medium	92.46428571428571
Feature35	92.53571428571429
Feature85.Low	92.82142857142857
Feature69.Medium	93.28571428571429
Feature56.Low	93.28571428571429
Feature60.Low	93.5
Feature26	93.71428571428571
Feature46	94.07142857142857
Feature100.Medium	94.42857142857143
Feature79.Low	94.96428571428571
Feature79.Medium	95.10714285714286
Feature94.Medium	95.25
Feature58.Medium	95.42857142857143
Feature40	95.57142857142857
Feature64.Low	95.60714285714286
Feature85.Medium	96.21428571428571
Feature90.Low	96.5
Feature88.Low	96.96428571428571
Feature29	97.32142857142857
Feature38	97.57142857142857
Feature16	97.67857142857143
Feature96.Medium	97.96428571428571
Feature21	99.21428571428571
Feature32	99.46428571428571
Feature80.Low	99.57142857142857
Feature65.Low	99.71428571428571
Feature57.Medium	99.78571428571429
Feature13	100.39285714285714
Feature19	100.75
Feature71.Low	100.75
Feature15	101.17857142857143
Feature57.Low	101.25
Feature45	101.96428571428571
Feature86.Medium	102.92857142857143
Feature44	103.17857142857143
Feature28	103.57142857142857
Feature74.Medium	103.64285714285714
Feature8	103.67857142857143
Feature58.Low	104.10714285714286
Feature48	104.32142857142857
Feature82.Low	104.57142857142857
Feature10	104.75
Feature7	104.85714285714286
Feature37	105.0
Feature75.Medium	105.60714285714286
Feature66.Medium	106.35714285714286
Feature95.Medium	107.75
Feature49	108.82142857142857
Feature66.Low	110.0
Feature78.Medium	111.10714285714286
Feature41	112.64285714285714
Feature17	112.85714285714286
Feature34	114.17857142857143
Feature82.Medium	115.82142857142857
