Feature	Mean_Rank
Feature30	24.125
Feature5	25.125
Feature92.Medium	30.375
Feature43	32.5
Feature87.Medium	40.125
Feature89.Medium	40.625
Feature9	41.0
Feature42	41.625
Feature91.Medium	41.625
Feature98.Medium	42.125
Feature89.Low	44.75
Feature25	45.625
Feature6	46.75
Feature95.Low	47.0
Feature23	48.0
Feature60.Medium	49.25
Feature35	50.375
Feature48	51.0
Feature93.Medium	51.5
Feature7	51.75
Feature2	52.0
Feature18	52.25
Feature78.Low	52.375
Feature62.Medium	53.0
Feature36	53.5
Feature80.Medium	53.5
Feature96.Medium	53.875
Feature97.Medium	54.5
Feature92.Low	55.75
Feature31	56.625
Feature91.Low	57.75
Feature97.Low	57.75
Feature93.Low	58.25
Feature44	59.0
Feature49	59.25
Feature8	59.75
Feature47	60.125
Feature96.Low	60.125
Feature87.Low	60.25
Feature90.Low	60.25
Feature85.Low	60.5
Feature83.Low	60.625
Feature98.Low	60.75
Feature46	61.75
Feature4	62.25
Feature88.Medium	62.375
Feature40	62.625
Feature94.Low	63.0
Feature33	63.125
Feature28	64.375
Feature27	64.5
Feature64.Medium	64.625
Feature67.Medium	64.625
Feature95.Medium	64.75
Feature38	64.875
Feature99.Low	65.75
Feature15	65.875
Feature52.Medium	65.875
Feature50	66.375
Feature63.Medium	67.875
Feature94.Medium	68.5
Feature88.Low	69.625
Feature86.Medium	70.0
Feature85.Medium	70.125
Feature32	70.75
Feature86.Low	70.75
Feature24	71.0
Feature90.Medium	72.125
Feature76.Medium	72.375
Feature84.Medium	72.875
Feature11	73.0
Feature20	73.0
Feature39	74.25
Feature45	75.375
Feature41	75.875
Feature84.Low	76.125
Feature72.Low	76.625
Feature81.Medium	77.375
Feature22	77.875
Feature83.Medium	78.25
Feature29	79.0
Feature61.Medium	79.25
Feature16	79.375
Feature60.Low	80.75
Feature1	81.125
Feature34	81.375
Feature21	83.625
Feature67.Low	84.5
Feature14	85.625
Feature62.Low	85.625
Feature69.Medium	85.75
Feature99.Medium	86.0
Feature69.Low	86.125
Feature68.Medium	86.25
Feature37	86.375
Feature65.Medium	86.625
Feature58.Medium	86.625
Feature81.Low	86.875
Feature57.Medium	87.0
Feature100.Medium	87.25
Feature79.Medium	87.625
Feature12	87.75
Feature3	87.75
Feature79.Low	88.125
Feature13	88.25
Feature82.Medium	88.625
Feature26	89.375
Feature66.Low	89.375
Feature63.Low	89.875
Feature19	90.125
Feature51.Medium	90.125
Feature82.Low	90.25
Feature78.Medium	90.375
Feature70.Low	90.875
Feature66.Medium	90.875
Feature53.Medium	91.375
Feature68.Low	92.125
Feature59.Medium	92.75
Feature51.Low	93.25
Feature59.Low	93.75
Feature10	94.375
Feature80.Low	94.5
Feature74.Low	95.25
Feature61.Low	95.625
Feature17	96.625
Feature73.Low	97.0
Feature55.Medium	97.125
Feature70.Medium	97.5
Feature75.Low	97.875
Feature72.Medium	98.625
Feature71.Medium	98.75
Feature77.Low	100.5
Feature71.Low	101.0
Feature65.Low	102.0
Feature58.Low	102.75
Feature64.Low	102.875
Feature77.Medium	103.75
Feature76.Low	103.75
Feature75.Medium	103.75
Feature100.Low	104.625
Feature74.Medium	105.625
Feature57.Low	106.0
Feature54.Medium	108.125
Feature73.Medium	108.625
Feature53.Low	114.125
Feature54.Low	115.75
Feature56.Medium	116.5
Feature52.Low	118.5
Feature56.Low	118.875
Feature55.Low	119.375
