Description	Iteration	Fold	Algorithm	Metric	Value
NoSignal_Both	1	1	AlgorithmScripts/Classification/tsv/sklearn/bagging/default	AUROC	0.585004156471548
NoSignal_Both	1	1	AlgorithmScripts/Classification/tsv/sklearn/bagging/default	Accuracy	0.644444444444444
NoSignal_Both	1	1	AlgorithmScripts/Classification/tsv/sklearn/bagging/default	BalancedAccuracy	0.514768806073154
NoSignal_Both	1	1	AlgorithmScripts/Classification/tsv/sklearn/bagging/default	Brier	0.205497777777778
NoSignal_Both	1	1	AlgorithmScripts/Classification/tsv/sklearn/bagging/default	F1	NA
NoSignal_Both	1	1	AlgorithmScripts/Classification/tsv/sklearn/bagging/default	FDR	NA
NoSignal_Both	1	1	AlgorithmScripts/Classification/tsv/sklearn/bagging/default	FNR	0.638095238095238
NoSignal_Both	1	1	AlgorithmScripts/Classification/tsv/sklearn/bagging/default	FPR	0.332367149758454
NoSignal_Both	1	1	AlgorithmScripts/Classification/tsv/sklearn/bagging/default	MCC	NA
NoSignal_Both	1	1	AlgorithmScripts/Classification/tsv/sklearn/bagging/default	MMCE	0.355555555555556
NoSignal_Both	1	1	AlgorithmScripts/Classification/tsv/sklearn/bagging/default	NPV	0.644444444444444
NoSignal_Both	1	1	AlgorithmScripts/Classification/tsv/sklearn/bagging/default	PPV	NA
NoSignal_Both	1	1	AlgorithmScripts/Classification/tsv/sklearn/bagging/default	Precision	NA
NoSignal_Both	1	1	AlgorithmScripts/Classification/tsv/sklearn/bagging/default	Recall	0.361904761904762
NoSignal_Both	1	1	AlgorithmScripts/Classification/tsv/sklearn/bagging/default	TNR	0.667632850241546
NoSignal_Both	1	1	AlgorithmScripts/Classification/tsv/sklearn/bagging/default	TPR	0.361904761904762
NoSignal_Both	1	1	AlgorithmScripts/Classification/tsv/sklearn/extra_trees/default	AUROC	0.565666630068804
NoSignal_Both	1	1	AlgorithmScripts/Classification/tsv/sklearn/extra_trees/default	Accuracy	0.711111111111111
NoSignal_Both	1	1	AlgorithmScripts/Classification/tsv/sklearn/extra_trees/default	BalancedAccuracy	0.586963579898363
NoSignal_Both	1	1	AlgorithmScripts/Classification/tsv/sklearn/extra_trees/default	Brier	0.208835555555556
NoSignal_Both	1	1	AlgorithmScripts/Classification/tsv/sklearn/extra_trees/default	F1	0.433333333333333
NoSignal_Both	1	1	AlgorithmScripts/Classification/tsv/sklearn/extra_trees/default	FDR	0.424444444444444
NoSignal_Both	1	1	AlgorithmScripts/Classification/tsv/sklearn/extra_trees/default	FNR	0.551984126984127
NoSignal_Both	1	1	AlgorithmScripts/Classification/tsv/sklearn/extra_trees/default	FPR	0.274088713219148
NoSignal_Both	1	1	AlgorithmScripts/Classification/tsv/sklearn/extra_trees/default	MCC	0.250287228458231
NoSignal_Both	1	1	AlgorithmScripts/Classification/tsv/sklearn/extra_trees/default	MMCE	0.288888888888889
NoSignal_Both	1	1	AlgorithmScripts/Classification/tsv/sklearn/extra_trees/default	NPV	0.788271604938272
NoSignal_Both	1	1	AlgorithmScripts/Classification/tsv/sklearn/extra_trees/default	PPV	0.575555555555556
NoSignal_Both	1	1	AlgorithmScripts/Classification/tsv/sklearn/extra_trees/default	Precision	0.575555555555556
NoSignal_Both	1	1	AlgorithmScripts/Classification/tsv/sklearn/extra_trees/default	Recall	0.448015873015873
NoSignal_Both	1	1	AlgorithmScripts/Classification/tsv/sklearn/extra_trees/default	TNR	0.725911286780852
NoSignal_Both	1	1	AlgorithmScripts/Classification/tsv/sklearn/extra_trees/default	TPR	0.448015873015873
NoSignal_Both	1	1	AlgorithmScripts/Classification/tsv/sklearn/knn/default	AUROC	0.549712210092645
NoSignal_Both	1	1	AlgorithmScripts/Classification/tsv/sklearn/knn/default	Accuracy	0.555555555555556
NoSignal_Both	1	1	AlgorithmScripts/Classification/tsv/sklearn/knn/default	BalancedAccuracy	0.44840956145304
NoSignal_Both	1	1	AlgorithmScripts/Classification/tsv/sklearn/knn/default	Brier	0.24
NoSignal_Both	1	1	AlgorithmScripts/Classification/tsv/sklearn/knn/default	F1	NA
NoSignal_Both	1	1	AlgorithmScripts/Classification/tsv/sklearn/knn/default	FDR	0.785575048732943
NoSignal_Both	1	1	AlgorithmScripts/Classification/tsv/sklearn/knn/default	FNR	0.726984126984127
NoSignal_Both	1	1	AlgorithmScripts/Classification/tsv/sklearn/knn/default	FPR	0.376196750109794
NoSignal_Both	1	1	AlgorithmScripts/Classification/tsv/sklearn/knn/default	MCC	-0.128625636992384
NoSignal_Both	1	1	AlgorithmScripts/Classification/tsv/sklearn/knn/default	MMCE	0.444444444444444
NoSignal_Both	1	1	AlgorithmScripts/Classification/tsv/sklearn/knn/default	NPV	0.613275613275613
NoSignal_Both	1	1	AlgorithmScripts/Classification/tsv/sklearn/knn/default	PPV	0.214424951267057
NoSignal_Both	1	1	AlgorithmScripts/Classification/tsv/sklearn/knn/default	Precision	0.214424951267057
NoSignal_Both	1	1	AlgorithmScripts/Classification/tsv/sklearn/knn/default	Recall	0.273015873015873
NoSignal_Both	1	1	AlgorithmScripts/Classification/tsv/sklearn/knn/default	TNR	0.623803249890206
