Feature	Mean_Rank
Feature1	4.375
Feature3	4.410714285714286
Feature5	4.410714285714286
Feature2	5.482142857142857
Feature4	5.767857142857143
Feature52.Medium	8.178571428571429
Feature55.Medium	8.714285714285714
Feature52.Low	9.517857142857142
Feature55.Low	9.678571428571429
Feature54.Low	10.910714285714286
Feature51.Low	10.946428571428571
Feature53.Low	11.535714285714286
Feature54.Medium	15.696428571428571
Feature53.Medium	16.071428571428573
Feature51.Medium	17.303571428571427
Feature98.Medium	33.357142857142854
Feature64.Medium	39.5
Feature87.Medium	53.339285714285715
Feature97.Medium	54.857142857142854
Feature78.Low	55.339285714285715
Feature70.Low	58.339285714285715
Feature86.Low	58.94642857142857
Feature92.Medium	59.517857142857146
Feature67.Low	59.75
Feature83.Medium	59.875
Feature72.Low	62.125
Feature96.Medium	63.375
Feature62.Low	64.05357142857143
Feature70.Medium	65.57142857142857
Feature82.Low	66.30357142857143
Feature63.Low	67.03571428571429
Feature23	67.07142857142857
Feature30	67.51785714285714
Feature26	67.66071428571429
Feature25	67.91071428571429
Feature95.Low	68.25
Feature64.Low	68.28571428571429
Feature96.Low	68.80357142857143
Feature58.Medium	69.26785714285714
Feature63.Medium	69.57142857142857
Feature92.Low	69.92857142857143
Feature20	69.92857142857143
Feature89.Low	70.25
Feature67.Medium	70.71428571428571
Feature59.Medium	70.98214285714286
Feature84.Low	72.30357142857143
Feature83.Low	72.46428571428571
Feature97.Low	72.55357142857143
Feature60.Low	72.83928571428571
Feature65.Medium	73.26785714285714
Feature62.Medium	73.42857142857143
Feature91.Medium	73.48214285714286
Feature42	73.64285714285714
Feature93.Medium	74.32142857142857
Feature6	74.91071428571429
Feature89.Medium	75.92857142857143
Feature33	76.625
Feature58.Low	76.75
Feature69.Low	76.80357142857143
Feature99.Low	78.71428571428571
Feature73.Low	78.83928571428571
Feature68.Medium	78.98214285714286
Feature46	79.07142857142857
Feature90.Low	79.07142857142857
Feature86.Medium	79.375
Feature27	79.53571428571429
Feature13	79.94642857142857
Feature100.Low	80.33928571428571
Feature80.Medium	80.55357142857143
Feature22	80.66071428571429
Feature75.Low	80.82142857142857
Feature84.Medium	80.85714285714286
Feature7	81.0
Feature77.Medium	81.25
Feature85.Low	81.98214285714286
Feature87.Low	81.98214285714286
Feature43	82.21428571428571
Feature65.Low	82.21428571428571
Feature72.Medium	82.35714285714286
Feature99.Medium	82.41071428571429
Feature60.Medium	83.0
Feature47	83.48214285714286
Feature71.Medium	83.82142857142857
Feature11	83.91071428571429
Feature36	84.03571428571429
Feature41	84.33928571428571
Feature40	85.30357142857143
Feature10	85.32142857142857
Feature74.Low	85.58928571428571
Feature17	85.75
Feature59.Low	85.75
Feature69.Medium	86.0
Feature71.Low	86.25
Feature44	86.60714285714286
Feature9	86.91071428571429
Feature38	87.10714285714286
Feature73.Medium	87.76785714285714
Feature95.Medium	88.0
Feature76.Low	88.94642857142857
Feature50	89.03571428571429
Feature35	89.16071428571429
Feature94.Medium	89.66071428571429
Feature18	89.92857142857143
Feature93.Low	89.94642857142857
Feature98.Low	90.35714285714286
Feature77.Low	90.375
Feature81.Low	90.48214285714286
Feature90.Medium	90.80357142857143
Feature66.Medium	90.94642857142857
Feature68.Low	90.98214285714286
Feature76.Medium	91.16071428571429
Feature61.Medium	91.26785714285714
Feature12	91.33928571428571
Feature80.Low	91.375
Feature88.Medium	92.26785714285714
Feature57.Low	93.08928571428571
Feature39	93.19642857142857
Feature100.Medium	93.33928571428571
Feature31	93.41071428571429
Feature19	93.53571428571429
Feature21	93.94642857142857
Feature81.Medium	94.23214285714286
Feature74.Medium	94.33928571428571
Feature94.Low	94.58928571428571
Feature56.Medium	94.66071428571429
Feature82.Medium	94.875
Feature66.Low	95.07142857142857
Feature85.Medium	95.76785714285714
Feature45	96.98214285714286
Feature24	97.60714285714286
Feature16	98.17857142857143
Feature15	98.19642857142857
Feature28	98.42857142857143
Feature79.Medium	98.53571428571429
Feature48	99.125
Feature14	99.42857142857143
Feature37	99.44642857142857
Feature56.Low	100.64285714285714
Feature34	102.67857142857143
Feature79.Low	103.76785714285714
Feature29	104.05357142857143
Feature32	105.01785714285714
Feature49	105.32142857142857
Feature75.Medium	105.57142857142857
Feature8	105.58928571428571
Feature91.Low	106.03571428571429
Feature57.Medium	106.39285714285714
Feature88.Low	107.875
Feature61.Low	111.39285714285714
Feature78.Medium	111.76785714285714
