Description	Outer_Iteration	Inner_Iteration	Algorithm	InstanceID	ActualClass	PredictedClass	1	2	3
My_Interesting_Analysis	1	1	AlgorithmScripts/Classification/tsv/sklearn/svm_linear/default	Instance13	1	1	0.953287469	0.028523249	0.018189282
My_Interesting_Analysis	1	1	AlgorithmScripts/Classification/tsv/sklearn/svm_linear/default	Instance17	1	1	0.772649799	0.091809896	0.135540306
My_Interesting_Analysis	1	1	AlgorithmScripts/Classification/tsv/sklearn/svm_linear/default	Instance22	1	1	0.779141271	0.172576308	0.048282421
My_Interesting_Analysis	1	1	AlgorithmScripts/Classification/tsv/sklearn/svm_linear/default	Instance23	1	1	0.979280817	0.017114566	0.003604616
My_Interesting_Analysis	1	1	AlgorithmScripts/Classification/tsv/sklearn/svm_linear/default	Instance34	2	2	0.206303368	0.758798798	0.034897834
My_Interesting_Analysis	1	1	AlgorithmScripts/Classification/tsv/sklearn/svm_linear/default	Instance37	2	2	0.124729865	0.833381698	0.041888437
My_Interesting_Analysis	1	1	AlgorithmScripts/Classification/tsv/sklearn/svm_linear/default	Instance39	2	2	0.127233537	0.835367266	0.037399197
My_Interesting_Analysis	1	1	AlgorithmScripts/Classification/tsv/sklearn/svm_linear/default	Instance4	1	1	0.674480263	0.12695224	0.198567497
My_Interesting_Analysis	1	1	AlgorithmScripts/Classification/tsv/sklearn/svm_linear/default	Instance41	2	2	0.139044904	0.836799498	0.024155598
My_Interesting_Analysis	1	1	AlgorithmScripts/Classification/tsv/sklearn/svm_linear/default	Instance47	3	3	0.137163559	0.036546721	0.826289721
My_Interesting_Analysis	1	1	AlgorithmScripts/Classification/tsv/sklearn/svm_linear/default	Instance5	1	1	0.931110731	0.035354213	0.033535056
My_Interesting_Analysis	1	1	AlgorithmScripts/Classification/tsv/sklearn/svm_linear/default	Instance52	3	3	0.114321663	0.038041851	0.847636486
My_Interesting_Analysis	1	1	AlgorithmScripts/Classification/tsv/sklearn/svm_linear/default	Instance57	3	3	0.104825321	0.054477133	0.840697546
My_Interesting_Analysis	1	1	AlgorithmScripts/Classification/tsv/sklearn/svm_linear/default	Instance58	3	3	0.101507799	0.050009611	0.84848259
My_Interesting_Analysis	1	1	AlgorithmScripts/Classification/tsv/sklearn/svm_linear/default	Instance9	1	1	0.91888138	0.041114263	0.040004358
My_Interesting_Analysis	1	2	AlgorithmScripts/Classification/tsv/sklearn/svm_linear/default	Instance11	1	1	0.877206731	0.054372796	0.068420473
My_Interesting_Analysis	1	2	AlgorithmScripts/Classification/tsv/sklearn/svm_linear/default	Instance12	1	1	0.916499521	0.039700589	0.04379989
My_Interesting_Analysis	1	2	AlgorithmScripts/Classification/tsv/sklearn/svm_linear/default	Instance14	1	1	0.892590338	0.067762727	0.039646934
My_Interesting_Analysis	1	2	AlgorithmScripts/Classification/tsv/sklearn/svm_linear/default	Instance25	1	1	0.865316163	0.063857572	0.070826265
My_Interesting_Analysis	1	2	AlgorithmScripts/Classification/tsv/sklearn/svm_linear/default	Instance26	1	1	0.71489356	0.173441595	0.111664845
My_Interesting_Analysis	1	2	AlgorithmScripts/Classification/tsv/sklearn/svm_linear/default	Instance28	1	1	0.921800271	0.046405402	0.031794328
My_Interesting_Analysis	1	2	AlgorithmScripts/Classification/tsv/sklearn/svm_linear/default	Instance34	2	2	0.125144422	0.832846535	0.042009043
My_Interesting_Analysis	1	2	AlgorithmScripts/Classification/tsv/sklearn/svm_linear/default	Instance36	2	2	0.041921424	0.932004816	0.02607376
My_Interesting_Analysis	1	2	AlgorithmScripts/Classification/tsv/sklearn/svm_linear/default	Instance39	2	2	0.017212602	0.940382357	0.042405042
My_Interesting_Analysis	1	2	AlgorithmScripts/Classification/tsv/sklearn/svm_linear/default	Instance41	2	2	0.098468774	0.871600758	0.029930468
My_Interesting_Analysis	1	2	AlgorithmScripts/Classification/tsv/sklearn/svm_linear/default	Instance47	3	3	0.058018926	0.046966801	0.895014273
My_Interesting_Analysis	1	2	AlgorithmScripts/Classification/tsv/sklearn/svm_linear/default	Instance5	1	1	0.93968844	0.016348034	0.043963526
My_Interesting_Analysis	1	2	AlgorithmScripts/Classification/tsv/sklearn/svm_linear/default	Instance54	3	3	0.116556865	0.055527831	0.827915304
My_Interesting_Analysis	1	2	AlgorithmScripts/Classification/tsv/sklearn/svm_linear/default	Instance57	3	3	0.144190456	0.0498971	0.805912444
My_Interesting_Analysis	1	2	AlgorithmScripts/Classification/tsv/sklearn/svm_linear/default	Instance58	3	3	0.071767201	0.052373059	0.87585974
My_Interesting_Analysis	1	3	AlgorithmScripts/Classification/tsv/sklearn/svm_linear/default	Instance12	1	1	0.938808653	0.02808027	0.033111078
My_Interesting_Analysis	1	3	AlgorithmScripts/Classification/tsv/sklearn/svm_linear/default	Instance14	1	1	0.801412847	0.136530718	0.062056435
My_Interesting_Analysis	1	3	AlgorithmScripts/Classification/tsv/sklearn/svm_linear/default	Instance17	1	1	0.937968518	0.035380994	0.026650488
My_Interesting_Analysis	1	3	AlgorithmScripts/Classification/tsv/sklearn/svm_linear/default	Instance26	1	1	0.510973179	0.323209906	0.165816915
My_Interesting_Analysis	1	3	AlgorithmScripts/Classification/tsv/sklearn/svm_linear/default	Instance27	1	1	0.97067669	0.014200105	0.015123205
My_Interesting_Analysis	1	3	AlgorithmScripts/Classification/tsv/sklearn/svm_linear/default	Instance36	2	2	0.114836528	0.858706431	0.026457041
My_Interesting_Analysis	1	3	AlgorithmScripts/Classification/tsv/sklearn/svm_linear/default	Instance37	2	2	0.030403257	0.940850776	0.028745967
My_Interesting_Analysis	1	3	AlgorithmScripts/Classification/tsv/sklearn/svm_linear/default	Instance41	2	2	0.079995925	0.902212705	0.01779137
My_Interesting_Analysis	1	3	AlgorithmScripts/Classification/tsv/sklearn/svm_linear/default	Instance43	2	2	0.234992133	0.730540689	0.034467179
My_Interesting_Analysis	1	3	AlgorithmScripts/Classification/tsv/sklearn/svm_linear/default	Instance51	3	3	0.038810051	0.040274347	0.920915602
My_Interesting_Analysis	1	3	AlgorithmScripts/Classification/tsv/sklearn/svm_linear/default	Instance52	3	3	0.094396339	0.037895317	0.867708344
My_Interesting_Analysis	1	3	AlgorithmScripts/Classification/tsv/sklearn/svm_linear/default	Instance53	3	3	0.044264864	0.029756606	0.92597853
My_Interesting_Analysis	1	3	AlgorithmScripts/Classification/tsv/sklearn/svm_linear/default	Instance56	3	3	0.074252826	0.039524724	0.88622245
My_Interesting_Analysis	1	3	AlgorithmScripts/Classification/tsv/sklearn/svm_linear/default	Instance6	1	1	0.727273662	0.069594491	0.203131846
